Trial,Initial Temperature,Final Temperature,Alpha,Num Iterations,Num Runs,Offset Increase Rate,Energy,Time
38,191.9533499558928,0.0095389345925764,0.9517510847423495,833,863,7.25814705717269,-3055.4,0.7465686869621276
39,59.82675688379976,0.0005409517972779025,0.9892964442713365,128,458,9.174060840044877,-2133.6,0.12417962312698365
40,68.51786009716238,0.001111449932812602,0.942786463840695,108,178,6.359369401661211,-3046.36,0.10163314580917358
41,157.0686484695649,0.0018378297853457505,0.9254052262665401,433,538,7.3850173366364285,-3055.4,0.40934962034225464
42,109.77461461930386,0.009792881459079434,0.9655120737221761,242,200,8.19820255823463,-3055.04,0.22208216190338134
43,138.22955885124523,0.0018570528565842067,0.9284481845738084,548,972,9.108535248652293,-3055.4,0.4896937346458435
44,185.80013850563708,0.00044959372532801984,0.9135837997310131,186,159,4.9364420130051005,-3047.1,0.17284322738647462
45,112.43173184839637,0.007355484302835981,0.9637673659958775,710,937,6.3060760136050185,-3055.4,0.6385960054397583
46,87.61999146577018,0.0009531845566285114,0.9895203892715766,379,542,9.47817481524533,-3055.4,0.35426499128341676
47,128.0317180937276,0.00255063645084796,0.9594634727858129,524,437,0.07829871226999359,-3054.68,0.5008410501480103
48,65.0593159780802,0.006084249031447351,0.920724314219534,866,852,5.975192531354068,-3055.4,0.7799482154846191
49,154.60952232705915,0.0040636486385422395,0.9616121984330664,146,253,6.488956424310576,-3052.32,0.13413471221923828
