Trial,Initial Temperature,Final Temperature,Alpha,Num Iterations,Num Runs,Offset Increase Rate,Energy,Time
41,133.8265196611045,0.003337174647618111,0.9493791910907782,310,224,0.38145336118216217,-369.38,0.2976663374900818
42,185.0922335713486,0.008505463106109928,0.8740108227784417,477,497,8.539984650917452,-369.38,0.4550086522102356
43,167.53124761814058,0.00855226021290555,0.8406744190138845,96,315,5.549431804902391,-369.38,0.09188215494155884
44,118.90131549358911,0.005665264625862526,0.9131959018636402,368,260,2.6122689745980274,-369.38,0.3492267966270447
45,57.0638043959743,0.0005212663368890037,0.7811027257982289,462,436,4.565459325205185,-369.38,0.43764248609542844
46,82.88476361139544,0.006458237308099945,0.8762522343588363,500,143,2.9612900734677026,-369.38,0.47279969453811643
47,112.74750994155232,0.0008459352358114892,0.8102176407074457,199,97,2.994791840874098,-369.38,0.20043320417404176
48,131.7330804999467,0.004067758635959651,0.8156039016999069,227,189,9.371610438277942,-369.38,0.21540767908096314
49,177.8027426026882,0.0033934801665552287,0.9289959385862994,194,358,9.115674590615736,-369.38,0.18703583478927613
0,88.2698911452018,0.002918223146895327,0.8812717785385287,421,406,3.640827915951326,-372.99334716796875,0.39624125957489015
1,126.33758257043193,0.00755104607748227,0.8067284790678151,417,457,9.650333470871145,-372.99334716796875,0.3821656942367554
2,136.8039327240449,0.004506480638729175,0.9004355502989094,424,393,9.43246605972521,-372.99334411621095,0.38368384838104247
3,125.61467275341948,0.0064109107314857024,0.9711046836517893,275,279,9.275445009279018,-372.99334716796875,0.2622057914733887
4,160.6186070825558,0.005778432230318271,0.9609377657274737,290,62,5.235694463431143,-372.99334411621095,0.28621611595153806
5,68.31622436601626,0.0011060969629478222,0.7727802931532872,172,303,1.302423543992234,-372.99334716796875,0.16494100093841552
6,63.15295623143183,0.005649663770366663,0.9203183840912428,252,307,7.345315405493203,-372.99334716796875,0.30361673831939695
7,176.2249273351657,0.001120389387937263,0.8650476677608834,163,186,4.590798221122713,-372.9933380126953,0.21768300533294677
8,81.22743032110286,0.00024821335845810787,0.7248840121002266,183,464,7.57285275637362,-372.99334716796875,0.23852815628051757
9,161.43417673762684,0.008588281824942447,0.7046270450120745,258,335,4.526107375942147,-372.99334716796875,0.3386657238006592
10,142.7898036076184,0.008935899658217127,0.8245945072266381,365,75,0.6102799931690707,-372.99334411621095,0.47649006843566893
11,127.88321913775002,0.001954645703198739,0.8806570299761299,152,360,0.9320900625376338,-372.99334716796875,0.21062872409820557
12,179.53431864801055,0.008379248794458928,0.7286641671646965,148,270,0.9090122227697965,-372.99334716796875,0.1915264129638672
13,58.28406671219328,0.0024201860960925132,0.8689314878289468,270,417,3.5298727368999923,-372.99334716796875,0.35121285915374756
14,109.91334481952251,0.00843941677137131,0.7219436056208046,147,282,7.25878297562733,-372.99334716796875,0.19517576694488525
15,91.3588736976399,0.003361525597022693,0.8732056080694909,362,84,4.919311482884472,-372.99334411621095,0.4697152614593506
16,197.72479891844927,0.005125797406137874,0.8931397625159687,245,460,5.807771762389729,-372.99334716796875,0.3199691534042358
17,103.13484930241887,0.003886062269062215,0.8936228260285914,260,204,8.758287248285992,-372.99335021972655,0.354343318939209
18,56.29338646903119,0.009966700806719806,0.730795644265557,346,500,8.546469297285759,-372.99334716796875,0.5111011028289795
19,58.376753754421415,0.009774385653015341,0.7583522346215265,291,479,2.920795483771206,-372.99334716796875,0.3739278793334961
20,127.5010475737755,0.0011262069891426678,0.9772946395577937,329,292,3.931192012317379,-372.99334716796875,0.4271202802658081
21,127.52382803372683,0.002316758774102943,0.7717641983062282,254,458,6.5215837565073045,-372.99334716796875,0.3336120367050171
